1,Tuesday,1,4,2008
2,Saturday,13,12,2008
3,Friday,30,10,2009
4,Monday,14,12,2009
5,Monday,18,1,2010
6,Tuesday,27,4,2010
7,Saturday,8,5,2010
8,Friday,9,7,2010
9,Wednesday,18,8,2010
10,Sunday,17,10,2010
11,Monday,3,1,2011
12,Monday,11,4,2011
13,Saturday,7,5,2011
14,Monday,23,5,2011
15,Friday,24,6,2011
16,Thursday,21,7,2011
17,Thursday,1,9,2011
18,Monday,31,10,2011
19,Monday,20,2,2012
20,Sunday,20,5,2012
21,Friday,17,8,2012
22,Tuesday,16,10,2012
23,Monday,11,2,2013
24,Thursday,21,3,2013
25,Thursday,18,4,2013
26,Thursday,20,6,2013
27,Saturday,6,7,2013
28,Wednesday,21,8,2013
29,Thursday,9,1,2014
30,Thursday,16,1,2014
31,Thursday,3,4,2014
32,Sunday,11,5,2014
33,Wednesday,4,6,2014
34,Thursday,7,8,2014
35,Sunday,10,8,2014
36,Monday,11,8,2014
37,Friday,22,8,2014
38,Sunday,9,11,2014
39,Wednesday,31,12,2014
40,Thursday,1,1,2015
41,Saturday,14,3,2015
42,Wednesday,13,5,2015
43,Monday,1,6,2015
44,Thursday,6,8,2015
45,Thursday,20,8,2015
46,Friday,28,8,2015
47,Monday,31,8,2015
48,Tuesday,1,9,2015
49,Friday,11,9,2015
50,Friday,18,9,2015
51,Tuesday,22,9,2015
52,Wednesday,14,10,2015
53,Tuesday,3,11,2015
54,Wednesday,4,11,2015
55,Saturday,14,11,2015
56,Sunday,15,11,2015
57,Saturday,28,11,2015
58,Monday,14,12,2015
59,Tuesday,12,1,2016
60,Saturday,13,2,2016
61,Sunday,3,4,2016
62,Wednesday,27,4,2016
63,Thursday,28,4,2016
64,Friday,27,5,2016
65,Wednesday,1,6,2016
66,Sunday,19,6,2016
67,Tuesday,5,7,2016
68,Wednesday,6,7,2016
69,Monday,18,7,2016
70,Tuesday,9,8,2016
71,Tuesday,23,8,2016
72,Wednesday,21,9,2016
73,Sunday,25,9,2016
74,Thursday,13,10,2016
75,Sunday,27,11,2016
76,Thursday,8,12,2016
77,Sunday,18,12,2016
78,Tuesday,27,12,2016
79,Tuesday,3,1,2017
80,Thursday,12,1,2017
81,Friday,13,1,2017
82,Thursday,19,1,2017
83,Saturday,28,1,2017
84,Thursday,2,3,2017
85,Tuesday,7,3,2017
86,Thursday,9,3,2017
87,Wednesday,15,3,2017
88,Thursday,23,3,2017
89,Monday,17,4,2017
90,Monday,24,4,2017
91,Thursday,8,6,2017
92,Thursday,29,6,2017
93,Thursday,7,9,2017
94,Saturday,16,9,2017
95,Friday,22,9,2017
96,Thursday,5,10,2017
97,Tuesday,24,10,2017
98,Thursday,26,10,2017
